,Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length,Introduced countries,Seas,Islands,Biome,Climate,Seasonal behavior,Predators,Bird's call,Mating behavior,Reproduction season,Pregnancy duration,Baby carrying,Independent age,Female name,Male name,Baby name,Incubation period,Population trend,Population status
1392,Banner-tailed kangaroo rat,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Heteromyidae,Dipodomys,Dipodomys spectabilis,,,,145 g,,,,,,['Grassland'],[],,,,,,23 days,2,,,,,,Decreasing,Near Threatened (NT)
1393,Gray-headed lemur,Animalia,Chordata,Vertebrata,Mammalia,Primates,Strepsirrhini,Lemuridae,Eulemur,Eulemur cinereiceps,,,,2-2.5 kg,,90-100 cm,,,,"['Forest', 'Intertidal zone', 'Rainforest']",['Tropical'],,,,,,,,,,,,,Decreasing,Critically endangered (CR)
1394,Agile mangabey,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Cercopithecidae,Cercocebus,Cercocebus agilis,,,,5-13 kg,,44-65 cm,,,,"['Forest', 'Rainforest', 'Riparian', 'Swamp', 'Wetlands ', 'Anthropogenic biome']",['Tropical'],Not a migrant,,,"Polygynandry,",,165 to 175 days,1,,,,,,Decreasing,Least concern (LC)
1395,Pallas's long-tongued bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Phyllostomidae,Glossophaga,Glossophaga soricina,,,,9.6 g,,,,,,"['Forest', 'Rainforest', 'Anthropogenic biome', 'Caves', 'Savanna']",[],,,,,,106 days,1,,,,,,Stable,Least concern (LC)
1396,Deppe's squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Sciurus,Sciurus deppei,,,,191-219 g,,,,,,"['Forest', 'Rainforest']",[],,,,,,,,,,,,,Stable,Least concern (LC)
1397,New Holland Mouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Pseudomys,Pseudomys novaehollandiae,"8,000",1.5-2 yrs,,,,65-90 mm,,,,"['Forest', 'Grassland', 'Shrubland']",[],Not a migrant,,,,August-January,,1-6 pups,3-4 weeks,doe,buck,pup,,Decreasing,Vulnerable (VU)
1398,Pygmy beaked whale,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Ziphiidae,Mesoplodon,Mesoplodon peruvianus,,,,,,3.4-3.7 m,,,,"['Oceanic pelagic zone', 'Marine']",['Tropical'],,,,,,,,,,,,,Unknown,Least concern (LC)
1399,Pallas's pika,Animalia,Chordata,Vertebrata,Mammalia,Lagomorpha,,Ochotonidae,Ochotona,Ochotona pallasi,,,,0.18-0.2 kg,,25 cm,,,,"['Mountains', 'Grassland', 'Rocky areas ']",['Temperate'],Not a migrant,,,Monogamy,,25 days,1 to 12,,,,,,Stable,Least concern (LC)
1400,Smith's red rock hare,Animalia,Chordata,Vertebrata,Mammalia,Lagomorpha,,Leporidae,Pronolagus,Pronolagus rupestris,,,,2 kg,,,,,,"['Grassland', 'Rocky areas ']",[],,,,,,,,,,,,,Unknown,Least concern (LC)
1401,Anderson's four-eyed opossum,Animalia,Chordata,Vertebrata,Mammalia,Didelphimorphia,,Didelphidae,Philander,Philander andersoni,,,,240-600 g,,250-350 mm,,,,['Forest'],['Tropical'],,,,,,,,,,,,,Stable,Least concern (LC)
1402,Golden-Bellied Mangabey,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Cercopithecidae,Cercocebus,Cercocebus chrysogaster,Unknown,20-35 yrs,,4-14 kg,,40-80 cm,,,,"['Forest', 'Marsh', 'Wetlands ', 'Rainforest']",['Tropical'],Not a migrant,,,Polygynandry,March-August,160-180 days,1 infant,4-5 years,female,male,infant,,Decreasing,Data deficient (DD)
1403,Omilteme cottontail,Animalia,Chordata,Vertebrata,Mammalia,Lagomorpha,,Leporidae,Sylvilagus,Sylvilagus insonus,,,,2.46-2.7 kg,,430-440 mm,,,,"['Forest', 'Mountains']",['Temperate'],,,,,,,,,,,,,Unknown,Data deficient (DD)
1404,Banana bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Phyllostomidae,Musonycteris,Musonycteris harrisoni,,,,,,70-79 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Shrubland', 'Caves']",['Tropical'],,,,,,,,,,,,,Decreasing,Vulnerable (VU)
1405,Long-legged myotis,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Vespertilionidae,Myotis,Myotis volans,,,,5-10 g,,83-100 mm,,,,"['Forest', 'Anthropogenic biome', 'Caves', 'Rocky areas ']",[],,,,,,,,,,,,,Stable,Least concern (LC)
1406,Long-tailed pygmy possum,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Burramyidae,Cercartetus,Cercartetus caudatus,,,,30 g,,,,,,"['Forest', 'Shrubland']",[],,,,,,,,,,,,,Stable,Least concern (LC)
1407,Proserpine rock-wallaby,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Macropodidae,Petrogale,Petrogale persephone,,,,3.6-9.6 kg,,520-640 mm,,,,"['Forest', 'Rocky areas ']",[],,,,,,30 to 34 days,1,,,,,,Decreasing,Endangered (EN)
1408,Travancore flying squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Petinomys,Petinomys fuscocapillus,,,,0.7938 kg,,320 mm,,,,"['Forest', 'Rainforest', 'Anthropogenic biome']",['Tropical'],,,,,,,,,,,,,Decreasing,Least concern (LC)
1409,Indian Desert Jird,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Meriones,Meriones hurrianae,Unknown,1-2 yrs,,,,12-14 cm,,,,"['Grassland', 'Savanna', 'Shrubland']",['Arid'],Not a migrant,,,,,,,,,,,,,
1410,Four-toed elephant shrew,Animalia,Chordata,Vertebrata,Mammalia,Macroscelidea,,Macroscelididae,Petrodromus,Petrodromus tetradactylus,,,,160-280 g,,19-23 cm,,,,"['Forest', 'Shrubland', 'Savanna']","['Temperate', 'Tropical']",Not a migrant,,,Monogamy,,,1.2,,,,,,Unknown,Least concern (LC)
1411,Mediterranean horseshoe bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Rhinolophidae,Rhinolophus,Rhinolophus euryale,,,,8-17.5 g,,65-88 mm,,,,"['Forest', 'Mountains', 'Anthropogenic biome', 'Caves', 'Shrubland']",['Temperate'],,,,,,7 weeks,1,,,,,,Decreasing,Near Threatened (NT)
1412,Tana River red colobus,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Cercopithecidae,Piliocolobus,Procolobus rufomitratus,,,,5.1-11.3 kg,,450-670 mm,,,,"['Forest', 'Riparian', 'Shrubland', 'Wetlands ']",['Tropical'],Not a migrant,,,"Polygyny,",,4.5 to 5.5 months,1,,,,,,Decreasing,Critically endangered (CR)
1413,Large-eared tenrec,Animalia,Chordata,Vertebrata,Mammalia,Afrosoricida,,Tenrecidae,Geogale,Geogale aurita,,,,5.0-8.5 g,,90-105 mm,,,,"['Forest', 'Rainforest', 'Shrubland']",['Tropical'],,,,,,54 to 69 days,1 to 5,,,,,,Unknown,Least concern (LC)
1414,Plains Rat,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Pseudomys,Pseudomys australis,5-20 Thou,1-4.5 yrs,,65 g,,90-145 mm,,,,['Shrubland'],['Arid'],"Not a migrant,",,,Polygyny,year-round,30-31 days,4 pups,28 days,doe,buck,"pup, pinkie, kit",,Decreasing,Vulnerable (VU)
1415,Feather-tailed possum,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,Phalangerida,Acrobatidae,Distoechurus,Distoechurus pennatus,,,,50-53 g,,100-120 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Rainforest']",['Tropical'],Not a migrant,,,,,,,,,,,,Stable,Least concern (LC)
1416,Sangihe tarsier,Animalia,Chordata,Vertebrata,Mammalia,Primates,,Tarsiidae,Tarsius,Tarsius sangirensis,,,,120-160 g,,12-13 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Marsh', 'Wetlands ', 'Rainforest']",['Tropical'],,,,Monogamy,,,1 to 2,,,,,,Decreasing,Endangered (EN)
1417,Bicolored shrew,Animalia,Chordata,Vertebrata,Mammalia,Eulipotyphla,,Soricidae,Crocidura,Crocidura leucodon,,,,6-13 g,,97-133 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Grassland', 'Shrubland']",['Temperate'],Not a migrant,,,,,28 to 31 days,3 to 10,,,,,,Unknown,Least concern (LC)
1418,Cape mole-rat,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Bathyergidae,Georychus,Georychus capensis,,,,181 g,,150-205 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Grassland', 'Forest', 'Shrubland']",['Temperate'],Not a migrant,,,,,44 days,3 to 10,60 days,,,,,Stable,Least concern (LC)
1419,Namib brush-tailed gerbil,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Gerbillurus,Gerbillurus setzeri,,,,30-40 g,,,,,,[],[],,,,,,,,,,,,,Stable,Least concern (LC)
1420,Bushy-tailed jird,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Sekeetamys,Sekeetamys calurus,,,,45-90 g,,9.8-12.8 cm,,,,['Rocky areas '],['Temperate'],"Aestivation, Not a migrant",,,Monogamy,,21 to 24 days,1 to 5,4 to 5 weeks,,,,,Stable,Least concern (LC)
1421,Gold-and-white marmoset,Animalia,Chordata,Vertebrata,Mammalia,Primates,,Callitrichidae,Mico,Mico chrysoleucos,,,,,,19-26 cm,,,,"['Forest', 'Rainforest']",['Tropical'],Not a migrant,,,"Cooperative breeder,",,130 to 170 days,2,,,,,,Decreasing,Least concern (LC)
1422,Large slit-faced bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Nycteridae,Nycteris,Nycteris grandis,,,,23-36 g,,63-93 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Rainforest', 'Grassland', 'Suburban', 'Swamp', 'Wetlands ', 'Urban wildlife', 'Savanna']",['Temperate'],,,,Monogamy,,,1 to 1,,,,,,Decreasing,Least concern (LC)
1423,Southern needle-clawed bushbaby,Animalia,Chordata,Vertebrata,Mammalia,Primates,,Galagidae,Euoticus,Euoticus elegantulus,,,,270-360 g,,495-555 mm,,,,"['Forest', 'Rainforest', 'Anthropogenic biome']",['Tropical'],,,,"Polygyny,",,4 months,1,4 months,,,,,Unknown,Least concern (LC)
1424,Robinson's mouse opossum,Animalia,Chordata,Vertebrata,Mammalia,Didelphimorphia,,Didelphidae,Marmosa,Marmosa robinsoni,,,,26-110 g,,83-218 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Mountains', 'Rainforest', 'Grassland', 'Shrubland', 'Savanna']",['Tropical'],,,,,,13 to 15 days,11,60 to 70 minutes,,,,,Stable,Least concern (LC)
1425,Tres Marias rabbit,Animalia,Chordata,Vertebrata,Mammalia,Lagomorpha,,Leporidae,Sylvilagus,Sylvilagus graysoni,,,,0.24-2.7 kg,,,,,,"['Forest', 'Grassland', 'Shrubland', 'Savanna']",[],,,,,,,,,,,,,Decreasing,Endangered (EN)
1426,Jameson's red rock hare,Animalia,Chordata,Vertebrata,Mammalia,Lagomorpha,,Leporidae,Pronolagus,Pronolagus randensis,,,,1.8-2.3 kg,,420-500 mm,,,,"['Caves', 'Grassland', 'Anthropogenic biome', 'Rocky areas ', 'Shrubland']",['Tropical'],Not a migrant,,,,,,,,,,,,Decreasing,Least concern (LC)
1427,Greater Dwarf Lemur,Animalia,Chordata,Vertebrata,Mammalia,Primates,Strepsirrhini,Cheirogaleidae,Cheirogaleus,Cheirogaleus major,Unknown,20 yrs,,164-600 g,,167-264 mm,,,,"['Forest', 'Rainforest', 'Shrubland']",['Tropical'],"Not a migrant, Aestivation",,,,October,70 days,2 infants,1.5 month,,,infant,,Decreasing,Data deficient (DD)
1428,Insular flying fox,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Pteropodidae,Pteropus,Pteropus tonganus,,,,"191-1,099 g",,151-262 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Marsh', 'Wetlands ', 'Mountains', 'Rainforest', 'Shrubland', 'Suburban', 'Swamp', 'Urban wildlife']",['Tropical'],,,,,,140 to 192 days,1 to 2,,,,,,Decreasing,Least concern (LC)
1429,Western woolly lemur,Animalia,Chordata,Vertebrata,Mammalia,Primates,Strepsirrhini,Indriidae,Avahi,Avahi occidentalis,,,,700-900 g,,56-65 cm,,,,['Forest'],['Tropical'],Not a migrant,,,Monogamy,,120 to 150 days,1,2 years,,,,,Decreasing,Vulnerable (VU)
1430,Four-toed jerboa,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Dipodidae,Allactaga,Allactaga tetradactyla,,,,52 g,,,,,,['Coastal'],[],,,,,,,,,,,,,Unknown,Data deficient (DD)
1431,Short-snouted elephant shrew,Animalia,Chordata,Vertebrata,Mammalia,Macroscelidea,,Macroscelididae,Elephantulus,Elephantulus brachyrhynchus,,,,40-60 g,,,,,,"['Grassland', 'Savanna']",[],Not a migrant,,,,,,,,,,,,Unknown,Least concern (LC)
1432,Kalinowski's mouse opossum,Animalia,Chordata,Vertebrata,Mammalia,Didelphimorphia,,Didelphidae,Hyladelphys,Hyladelphys kalinowskii,,,,13-18 g,,178-208 mm,,,,"['Forest', 'Rainforest', 'Swamp', 'Wetlands ']",['Tropical'],,,,,,,,,,,,,Unknown,Least concern (LC)
1433,Proboscis bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Emballonuridae,Rhynchonycteris,Rhynchonycteris naso,,,,3.8-3.9 g,,37-43 mm,,,,"['Forest', 'Rainforest', 'Caves']",['Tropical'],,,,"Polygyny,",,,1 to 2,2 to 4 months,,,,,Unknown,Least concern (LC)
1434,Western small-footed bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Vespertilionidae,Myotis,Myotis ciliolabrum,,,,4.7-7 g,,81.0-93 mm,,,,"['Caves', 'Mountains', 'Riparian', 'Rivers', 'Grassland', 'Anthropogenic biome', 'Suburban', 'Urban wildlife', 'Forest', 'Rocky areas ']",['Temperate'],,,,"Polygynandry,",,1 to 2 months,1 to 2,4 to 6 weeks,,,,,Stable,Least concern (LC)
1435,Golden spiny mouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Acomys,Acomys russatus,,,,15-80 g,,,,,,"['Grassland', 'Rocky areas ']",[],,,,,,34 days,2.5,,,,,,Unknown,Least concern (LC)
1436,Grayish mouse opossum,Animalia,Chordata,Vertebrata,Mammalia,Didelphimorphia,,Didelphidae,Tlacuatzin,Tlacuatzin canescens,,,,,,205-350 mm,,,,"['Forest', 'Rainforest', 'Grassland', 'Shrubland']",['Tropical'],,,,"Polygynandry,",,14 days,8 to 14,,,,,,Stable,Least concern (LC)
1437,Sagebrush vole,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Cricetidae,Lemmiscus,Lemmiscus curtatus,,,,17-38 g,,106-160 mm,,,,"['Chaparral', 'Forest', 'Shrubland', 'Grassland']",['Temperate'],,,,Monogamy,,24 to 25 days,1 to 13,,,,,,Stable,Least concern (LC)
1438,Lesser bamboo rat,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Spalacidae,Cannomys,Cannomys badius,,,,500-4000 g,,,,,,"['Forest', 'Mountains', 'Anthropogenic biome']",[],,,,,,42 days,1.8,,,,,,Unknown,Least concern (LC)
1439,Cascade golden-mantled ground squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Callospermophilus,Callospermophilus saturatus,,,,200-350 g,,287-315 mm,,,,"['Forest', 'Mountains', 'Shrubland', 'Grassland', 'Rocky areas ']",['Temperate'],"Hibernating, Not a migrant",,,"Polygyny,",,28 days,3 to 5,2 months,,,,,Stable,Least concern (LC)
1440,Bastard big-footed mouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Nesomyidae,Macrotarsomys,Macrotarsomys bastardi,,,,21-38 g,,,,,,"['Forest', 'Grassland', 'Shrubland']",[],,,,,,,,,,,,,Stable,Least concern (LC)
1441,Large treeshrew,Animalia,Chordata,Vertebrata,Mammalia,Scandentia,,Tupaiidae,Tupaia,Tupaia tana,,,,198 g,,22 cm,,,,"['Forest', 'Rainforest', 'Swamp', 'Wetlands ', 'Anthropogenic biome']",['Tropical'],Not a migrant,,,Monogamy,,,1 to 2,,,,,,Decreasing,Least concern (LC)
1442,Unstriped ground squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Xerus,Xerus rutilus,,,,260-420 g,,200-255 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Grassland', 'Shrubland', 'Savanna']",['Tropical'],Not a migrant,,,,,,,,,,,,Stable,Least concern (LC)
1443,Macleay's dorcopsis,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Macropodidae,Dorcopsulus,Dorcopsulus macleayi,,,,3-5 kg,,490 mm,,,,"['Forest', 'Rainforest', 'Anthropogenic biome']",['Tropical'],,,,"Polygynandry,",,21 days,1,,,,,,Stable,Least concern (LC)
1444,Checkered elephant shrew,Animalia,Chordata,Vertebrata,Mammalia,Macroscelidea,,Macroscelididae,Rhynchocyon,Rhynchocyon cirnei,,,,408-550 g,,22.9-30.5 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Mountains', 'Rainforest', 'Grassland', 'Shrubland']",['Tropical'],Not a migrant,,,Monogamy,,42 days,1 to 3,5 to 10 weeks,,,,,Decreasing,Least concern (LC)
1445,Great Basin pocket mouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Heteromyidae,Perognathus,Perognathus parvus,,,,20.1 g,,,,,,"['Grassland', 'Anthropogenic biome', 'Forest', 'Shrubland']",[],,,,,,24 days,4.8,,,,,,Stable,Least concern (LC)
1446,Borneo fruit bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Pteropodidae,Aethalops,Aethalops aequalis,,,,,,66 mm,,,,"['Forest', 'Mountains', 'Caves']",[],,,,,,4 to 6 months,1,,,,,,Unknown,Least concern (LC)
1447,Monk Saki,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Pitheciidae,Pithecia,Pithecia monachus,Unknown,14-24 yrs,,1-2 kg,,30-50 cm,,,,"['Forest', 'Rainforest']",['Tropical'],Not a migrant,,,Monogamy,,170 days,1 infant,,female,male,infant,,Decreasing,Least concern (LC)
1448,Townsend's vole,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Cricetidae,Microtus,Microtus townsendii,,,,47-83 g,,169-225 mm,,,,"['Forest', 'Marsh', 'Wetlands ', 'Riparian', 'Grassland', 'Anthropogenic biome']",[],,,,"Monogamy,",,21 to 23 days,2 to 7,10 to 15 days,,,,,Stable,Least concern (LC)
1449,Fringed myotis,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Vespertilionidae,Myotis,Myotis thysanodes,,,,5-9 g,,,,,,"['Grassland', 'Anthropogenic biome', 'Caves', 'Forest', 'Rocky areas ']",[],,,,,,50 to 60 days,1 to 1,,,,,,Stable,Least concern (LC)
1450,Cameroon clawless otter,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Aonyx,Aonyx congicus,,,,15-25 kg,,78-97 cm,,,,"['Forest', 'Lakes', 'Rainforest', 'Rivers', 'Swamp', 'Wetlands ', 'Freshwater', 'Anthropogenic biome']",['Tropical'],,,,Monogamy,,2 months,1 to 6,,,,,,Decreasing,Near Threatened (NT)
1451,Yellow ground squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Spermophilus,Spermophilus fulvus,,,,307-1428 g,,230-370 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Grassland']",[],"Hibernating,",,,,,30 days,1 to 10,1 to 2.5 months,,,,,Unknown,Least concern (LC)
1452,Gray dorcopsis,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Macropodidae,Dorcopsis,Dorcopsis luctuosa,,,,3.6-11.6 kg,,525-970 mm,,,,"['Forest', 'Rainforest', 'Anthropogenic biome']",['Tropical'],Not a migrant,,,"Polygynandry,",,30 to 45 days,1 to 1,,,,,,Decreasing,Vulnerable (VU)
1453,Ruwenzori otter shrew,Animalia,Chordata,Vertebrata,Mammalia,Afrosoricida,,Tenrecidae,Micropotamogale,Micropotamogale ruwenzorii,,,,75-135 g,,223-350 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Freshwater', 'Mountains', 'Rainforest', 'Riparian', 'Rivers', 'Grassland', 'Shrubland', 'Wetlands ']",['Tropical'],,,,,,,,,,,,,Unknown,Least concern (LC)
1454,Green acouchi,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Dasyproctidae,Myoprocta,Myoprocta pratti,,,,0.8-1.2 kg,,298-383 mm,,,,"['Forest', 'Rainforest']",['Tropical'],,,,Monogamy,,94 to 101 days,1 to 3,,,,,,Stable,Least concern (LC)
1455,Scaly-tailed possum,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Phalangeridae,Wyulda,Wyulda squamicaudata,,,,1500 g,,375-415 mm,,,,"['Forest', 'Rocky areas ', 'Savanna']",['Tropical'],,,,"Polygynandry,",,,1,,,,,,Decreasing,Near Threatened (NT)
1456,Big free-tailed bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Molossidae,Nyctinomops,Nyctinomops macrotis,,,,22.0-30 g,,120-160 mm,,,,"['Chaparral', 'Coastal', 'Forest', 'Shrubland', 'Anthropogenic biome', 'Suburban', 'Urban wildlife']","['Temperate', 'Tropical']",,,,,,2 to 3 months,1 to 1,,,,,,Unknown,Least concern (LC)
1457,Pygmy short-tailed opossum,Animalia,Chordata,Vertebrata,Mammalia,Didelphimorphia,,Didelphidae,Monodelphis,Monodelphis kunsi,,,,7.5-30 g,,103-147 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Rainforest', 'Savanna']",['Tropical'],,,,,,,,,,,,,Stable,Least concern (LC)
1458,Parnell's mustached bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Mormoopidae,Pteronotus,Pteronotus parnellii,,,,10-20 g,,73-102 mm,,,,"['Forest', 'Rainforest', 'Shrubland', 'Anthropogenic biome', 'Caves']",['Tropical'],,,,,,,,,,,,,Stable,Least concern (LC)
1459,Spotted giant flying squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Petaurista,Petaurista elegans,,,,"1,138-1,362 g",,305-585 mm,,,Borneo,"['Forest', 'Mountains']",['Temperate'],,,,,,,,,,,,,Stable,Least concern (LC)
1460,Atlantic titi,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Pitheciidae,Callicebus,Callicebus personatus,,,,970-1650 g,,310-420 mm,,,,['Forest'],['Tropical'],Not a migrant,,,Monogamy,,,1 to 1,,,,,,Decreasing,Vulnerable (VU)
1461,Black flying squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Aeromys,Aeromys tephromelas,,,,1128-1250 g,,255-426 mm,,,,"['Forest', 'Rainforest', 'Anthropogenic biome']",['Tropical'],,,,,,,1,1 years,,,,,Unknown,Data deficient (DD)
1462,Sundevall's jird,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Meriones,Meriones crassus,,,,29-110 g,,205-290 mm,,,,[],['Tropical'],,,,,,21 to 31 days,1 to 8,,,,,,Unknown,Least concern (LC)
1463,Idaho Ground Squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Urocitellus,Urocitellus brunneus,"1,000",5 yrs,,109-290 g,,209-258 mm,,,,"['Grassland', 'Shrubland']","['Temperate', 'Cold']",Hibernating,,,Polygynandry,early spring,50-52 days,2-7 pups,,doe,buck,"pup, kit, kitten",,Decreasing,Vulnerable (VU)
1464,Libyan jird,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Meriones,Meriones libycus,,,,85 g,,,,,,"['Grassland', 'Anthropogenic biome', 'Shrubland', 'Wetlands ']",[],,,,,,26 days,5,,,,,,Stable,Least concern (LC)
1465,Santa Catarina's guinea pig,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Caviidae,Cavia,Cavia intermedia,,,,495-750 g,,200-400 mm,,,,['Grassland'],['Tropical'],,,,"Polygynandry,",,60 days,1 to 2,30 days,,,,,Decreasing,Critically endangered (CR)
1466,Desert pocket gopher,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Geomyidae,Geomys,Geomys arenarius,,,,165-254 g,,218-302 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Riparian', 'Shrubland', 'Grassland']",['Temperate'],,,,"Polygyny,",,18 to 19 days,4 to 6,2 months,,,,,Unknown,Near Threatened (NT)
1467,Greater sac-winged bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Emballonuridae,Saccopteryx,Saccopteryx bilineata,,,,8.5-9.3 g,,73-76 mm,,,,"['Caves', 'Forest', 'Rainforest', 'Anthropogenic biome', 'Suburban', 'Urban wildlife']",['Tropical'],Not a migrant,,,"Polygynandry,",,6 months,1,2 months,,,,,Unknown,Least concern (LC)
1468,Cave myotis,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Vespertilionidae,Myotis,Myotis velifer,,,,7-14 g,,,,,,"['Chaparral', 'Anthropogenic biome', 'Caves', 'Forest']",[],,,,,,60 to 70 days,1 to 1,,,,,,Stable,Least concern (LC)
1469,Alpine shrew,Animalia,Chordata,Vertebrata,Mammalia,Eulipotyphla,,Soricidae,Sorex,Sorex alpinus,,,,5.5-11.5 g,,6.0-7.7 mm,,,,"['Forest', 'Mountains', 'Riparian', 'Anthropogenic biome', 'Grassland', 'Rocky areas ']",['Temperate'],,,,"Polygynandry,",,19 to 21 days,3 to 9,,,,,,Decreasing,Near Threatened (NT)
1470,Cameroon scaly-tail,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Anomaluridae,Zenkerella,Zenkerella insignis,,,,180-220 g,,18-23 cm,,,,"['Forest', 'Savanna']",['Tropical'],,,,,,,,,,,,,Unknown,Least concern (LC)
1471,Eastern rock elephant shrew,Animalia,Chordata,Vertebrata,Mammalia,Macroscelidea,,Macroscelididae,Elephantulus,Elephantulus myurus,,,,41-98 g,,202-290 mm,,,,"['Forest', 'Shrubland', 'Grassland', 'Rocky areas ', 'Savanna']",['Temperate'],,,,Monogamy,,49 to 56 days,1 to 3,,,,,,Stable,Least concern (LC)
1472,Pinyon Mouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Cricetidae,Peromyscus,Peromyscus truei,Unknown,,,20-25 g,,171-231 mm,,,,"['Forest', 'Mountains', 'Grassland', 'Shrubland', 'Rocky areas ']",['Temperate'],"Not a migrant, Aestivation",,,Polygynandry,mid-February-mid November; peak in April-June,26-40 days,3-6 pups,3-4 weeks,doe,buck,"pup, pinkie, kit",,Stable,Least concern (LC)
1473,Bunny rat,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Cricetidae,Reithrodon,Reithrodon auritus,,,,20.5-116 g,,21.5-30.5 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Chaparral', 'Forest', 'Grassland', 'Shrubland']",['Temperate'],,,,"Polygyny,",,,1 to 8,,,,,,Stable,Least concern (LC)
