Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length,Attributes,Distribution,Habits,Diet,Mating_Habits,Population
Sindh ibex,Wild Goat,,Animalia,Chordata,Vertebrata,,Mammalia,Bovidae,Caprinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Peruvian Spider Monkey,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Atelidae,Ateles,Ateles chamek,Unknown,20-48 yrs,,up to 9 kg,,700 cm,"Diurnal,Herbivore,Folivore,Frugivore,Arboreal,Altricial,Browsing,Zoochory,Scansorial,Terrestrial,Polygynandry,Social,Dominance hierarchy,Not a migrant,starts with","{'Geography': {'Continents': 'South America', 'Countries': 'Bolivia, Brazil, Peru', 'Biogeographical realms': 'Neotropical', 'Wwf biomes': 'Tropical dry forest, Tropical moist forests'}, 'Biome': ['Forest', 'Rainforest'], 'Climate': ['Tropical']}","{'Group name': 'band, troop, barrel, cartload, tribe, wilderness', 'Lifestyle': 'Arboreal, Altricial, Browsing, Zoochory, Scansorial, Terrestrial,', 'Seasonal behavior': 'Not a migrant'}","Herbivore,,Folivore,,Frugivore","{'Mating behavior': 'Polygynandry', 'Reproduction season': 'year-round', 'Pregnancy duration': '140 days', 'Baby carrying': '1 infant', 'Independent age': '10 months', 'Female name': 'female', 'Male name': 'male', 'Baby name': 'infant'}","{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Carpathian wisent,Wisent,,Animalia,Chordata,Vertebrata,,Mammalia,Bovinae,Bovini,,,,,,,starts with,"{'Geography': {}, 'Biome': ['Mountains'], 'Climate': []}",{},,{},{'Population status': 'Extinct (EX)'}
Plateau pika,Animalia,Chordata,Vertebrata,Mammalia,Lagomorpha,,Ochotonidae,Ochotona,Ochotona curzoniae,,,,0.1-0.2 kg,,,"Diurnal,Folivore,Granivore,Herbivore,Zoochory,Fossorial,Terrestrial,Territorial,Monogamy,Social,Not a migrant,starts with","{'Geography': {'Continents': 'Asia', 'Countries': 'China, India, Nepal', 'Regions': 'Tibet', 'Biogeographical realms': 'Palearctic, Indomalayan', 'Wwf biomes': 'Tundra'}, 'Biome': ['Mountains', 'Grassland'], 'Climate': ['Temperate']}","{'Lifestyle': 'Zoochory, Fossorial, Terrestrial, Territorial,', 'Seasonal behavior': 'Not a migrant,'}","Folivore,,Granivore,,Herbivore","{'Mating behavior': 'Monogamy', 'Pregnancy duration': '21 to 24 days', 'Baby carrying': '1 to 8', 'Independent age': '3 weeks'}","{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Kenai Peninsula wolf,Grey Wolf,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,,,,,,,starts with,"{'Geography': {'Countries': '', 'Regions': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Extinct (EX)'}
Steppe lemming,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Cricetidae,Lagurus,Lagurus lagurus,,,,22.0-34.8 g,,80-120 mm,"Crepuscular,Folivore,Herbivore,Fossorial,Terrestrial,Territorial,Congregatory,Polygynandry,Polygamy,Social,Migrating,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Agricultural', 'Anthropogenic biome', 'Grassland', 'Shrubland'], 'Climate': ['Temperate']}","{'Lifestyle': 'Fossorial, Terrestrial, Territorial, Congregatory,', 'Seasonal behavior': 'Migrating'}","Folivore,,Herbivore","{'Mating behavior': 'Polygynandry,', 'Pregnancy duration': '20 days', 'Baby carrying': '3 to 7'}","{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Annamite striped rabbit,Animalia,Chordata,Vertebrata,Mammalia,Lagomorpha,,Leporidae,Nesolagus,Nesolagus timminsi,,,,,,350-400 mm,"Nocturnal,Coprophage,Folivore,Herbivore,Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': 'Asia', 'Countries': 'Laos, Viet Nam', 'Biogeographical realms': 'Indomalayan'}, 'Biome': ['Forest', 'Rainforest'], 'Climate': ['Tropical']}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Siberian lynx,Eurasian Lynx,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Variegated Squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Sciurus,Sciurus variegatoides,Unknown,8-23 yrs,,500 g,,260 mm,"Diurnal,Herbivore,Frugivore,Granivore,Arboreal,Altricial,Zoochory,Jumping,Scansorial,Terrestrial,Solitary,Not a migrant,starts with","{'Geography': {'Continents': 'North America', 'Subcontinents': 'Central America', 'Countries': 'Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama', 'Biogeographical realms': 'Neotropical, Nearctic', 'Wwf biomes': 'Tropical coniferous forests, Tropical dry forest, Tropical moist forests'}, 'Biome': ['Agricultural', 'Anthropogenic biome', 'Forest', 'Rainforest', 'Shrubland'], 'Climate': ['Tropical']}","{'Group name': 'dray, colony, scurry', 'Lifestyle': 'Arboreal, Altricial, Zoochory, Jumping,  Scansorial, Terrestrial,', 'Seasonal behavior': 'Not a migrant'}","Herbivore,,Frugivore,,Granivore","{'Reproduction season': 'April-May', 'Pregnancy duration': '33-46 days', 'Baby carrying': '2-8 kittens', 'Independent age': '15 weeks', 'Female name': 'doe', 'Male name': 'buck', 'Baby name': 'pup, kit, kitten'}","{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Collared Mangabey,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Cercopithecidae,Cercocebus,Cercocebus torquatus,Unknown,14-30 yrs,,7.5-10 kg,,45-67 cm,"Diurnal,Omnivore,Arboreal,Terrestrial,Social,Not a migrant,starts with","{'Geography': {'Continents': 'Africa', 'Subcontinents': 'Sub-Saharan Africa', 'Countries': 'Cameroon, Equatorial Guinea, Gabon, Nigeria', 'Biogeographical realms': 'Afrotropical', 'Wwf biomes': 'Mangrove, Tropical moist forests'}, 'Biome': ['Forest'], 'Climate': ['Tropical']}","{'Group name': 'troop, barrel, cartload, tribe, wilderness', 'Lifestyle': 'Arboreal, Terrestrial,', 'Seasonal behavior': 'Not a migrant'}",Omnivore,"{'Reproduction season': 'most births occur in March-August', 'Pregnancy duration': '170 days', 'Baby carrying': '1 infant', 'Female name': 'female', 'Male name': 'male', 'Baby name': 'infant'}","{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Northern Luzon giant cloud rat,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Phloeomys,Phloeomys pallidus,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': 'Asia', 'Countries': 'Philippines', 'Biogeographical realms': 'Indomalayan'}, 'Biome': ['Anthropogenic biome', 'Forest', 'Shrubland'], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
